class,fpr,tpr
!,0.0630487543721893,1.0
!,0.06326290241987294,1.0
!,0.06328074809051325,1.0
!,0.063325362267114,1.0
!,0.06335213077307446,1.0
!,0.0636019701620387,1.0
!,0.06364658433863944,1.0
!,0.06370012135056036,1.0
!,0.06371796702120065,1.0
!,0.06376258119780141,1.0
!,0.06378042686844172,1.0
!,0.06391426939824399,1.0
!,0.06417303162252838,1.0
!,0.0642979513170105,1.0
!,0.06431579698765079,1.0
!,0.06436041116425155,1.0
!,0.06437825683489186,1.0
!,0.06458348204725534,1.0
!,0.06473517024769791,1.0
!,0.06482439860089942,1.0
!,0.06487793561282033,1.0
!,0.06511885216646442,1.0
!,0.06515454350774502,1.0
!,0.06517238917838532,1.0
!,0.0653954600613891,1.0
!,0.06586837033335713,1.0
!,0.06588621600399742,1.0
!,0.06593083018059819,1.0
!,0.06596652152187879,1.0
!,0.06624312941680348,1.0
!,0.06630558926404455,1.0
!,0.06643943179384681,1.0
!,0.06645727746448711,1.0
!,0.06659111999428939,1.0
!,0.06676065386537226,1.0
!,0.06678742237133271,1.0
!,0.06680526804197302,1.0
!,0.06681419087729316,1.0
!,0.06683203654793347,1.0
!,0.06690341923049468,1.0
!,0.06692126490113498,1.0
!,0.06696587907773574,1.0
!,0.06698372474837605,1.0
!,0.06709972160753801,1.0
!,0.06711756727817832,1.0
!,0.06719787279605968,1.0
!,0.06721571846669998,1.0
!,0.06728710114926119,1.0
!,0.06738525233778285,1.0
!,0.06752801770290527,1.0
!,0.06755478620886574,1.0
!,0.06759047755014634,1.0
!,0.06759940038546648,1.0
!,0.06763509172674709,1.0
!,0.06771539724462845,1.0
!,0.06775108858590906,1.0
!,0.06781354843315011,1.0
!,0.06783139410379042,1.0
!,0.06784923977443072,1.0
!,0.06787600828039117,1.0
!,0.06790277678635163,1.0
!,0.06792062245699193,1.0
!,0.06799200513955314,1.0
!,0.0680366193161539,1.0
!,0.06806338782211435,1.0
!,0.0680901563280748,1.0
!,0.06815261617531587,1.0
!,0.06817046184595617,1.0
!,0.06817938468127632,1.0
!,0.06819723035191662,1.0
!,0.06828645870511814,1.0
!,0.0683489185523592,1.0
!,0.06835784138767935,1.0
!,0.0683846098936398,1.0
!,0.06843814690556072,1.0
!,0.06846491541152117,1.0
!,0.06861660361196374,1.0
!,0.06863444928260404,1.0
!,0.06884859733028767,1.0
!,0.06922335641373403,1.0
!,0.06924120208437433,1.0
!,0.0693750446141766,1.0
!,0.0693928902848169,1.0
!,0.06940181312013706,1.0
!,0.0694464272967378,1.0
!,0.06946427296737812,1.0
!,0.06951780997929902,1.0
!,0.06953565564993933,1.0
!,0.06960703833250054,1.0
!,0.06964272967378114,1.0
!,0.06976764936826325,1.0
!,0.06978549503890356,1.0
!,0.06979441787422372,1.0
!,0.06981226354486401,1.0
!,0.06987472339210507,1.0
!,0.07026732814619173,1.0
!,0.07032086515811264,1.0
!,0.0703476336640731,1.0
!,0.07035655649939325,1.0
!,0.07037440217003355,1.0
!,0.07042793918195446,1.0
!,0.07044578485259476,1.0
!,0.07050824469983583,1.0
!,0.07052609037047612,1.0
!,0.07057962738239704,1.0
!,0.07059747305303733,1.0
!,0.07065993290027839,1.0
!,0.0707670069241202,1.0
!,0.07078485259476051,1.0
!,0.07080269826540081,1.0
!,0.07084731244200157,1.0
!,0.07088300378328218,1.0
!,0.07090977228924263,1.0
!,0.07092761795988294,1.0
!,0.0710614604896852,1.0
!,0.07108822899564565,1.0
!,0.07109715183096581,1.0
!,0.07127560853736883,1.0
!,0.0713202227139696,1.0
!,0.07134699121993004,1.0
!,0.07136483689057035,1.0
!,0.07142729673781141,1.0
!,0.07146298807909202,1.0
!,0.07151652509101292,1.0
!,0.07153437076165323,1.0
!,0.07154329359697337,1.0
!,0.07163252195017489,1.0
!,0.07174851880933686,1.0
!,0.07176636447997715,1.0
!,0.07182882432721821,1.0
!,0.07185559283317867,1.0
!,0.07187343850381897,1.0
!,0.07195374402170034,1.0
!,0.07206081804554215,1.0
!,0.07207866371618245,1.0
!,0.07214112356342352,1.0
!,0.07222142908130487,1.0
!,0.07229281176386608,1.0
!,0.07231958026982654,1.0
!,0.07232850310514669,1.0
!,0.07235527161110715,1.0
!,0.07236419444642729,1.0
!,0.0723998857877079,1.0
!,0.07245342279962881,1.0
!,0.0724712684702691,1.0
!,0.07251588264686987,1.0
!,0.07263187950603184,1.0
!,0.0726764936826326,1.0
!,0.07268541651795274,1.0
!,0.07270326218859305,1.0
!,0.07272110785923334,1.0
!,0.07273895352987365,1.0
!,0.07279249054179456,1.0
!,0.07285495038903562,1.0
!,0.07288171889499608,1.0
!,0.0730780212720394,1.0
!,0.07310478977799986,1.0
!,0.07316724962524092,1.0
!,0.07321186380184168,1.0
!,0.07322078663716182,1.0
!,0.07325647797844242,1.0
!,0.07334570633164395,1.0
!,0.07338139767292455,1.0
!,0.0733903205082447,1.0
!,0.07343493468484545,1.0
!,0.07345278035548576,1.0
!,0.07348847169676637,1.0
!,0.07350631736740666,1.0
!,0.07355093154400742,1.0
!,0.07355985437932758,1.0
!,0.07357770004996787,1.0
!,0.07364015989720894,1.0
!,0.07365800556784924,1.0
!,0.07369369690912984,1.0
!,0.0737561567563709,1.0
!,0.07376507959169105,1.0
!,0.07380077093297166,1.0
!,0.07380969376829181,1.0
!,0.07388999928617318,1.0
!,0.07394353629809408,1.0
!,0.07396138196873439,1.0
!,0.07400599614533514,1.0
!,0.07416660718109787,1.0
!,0.07419337568705832,1.0
!,0.07422014419301877,1.0
!,0.07424691269897923,1.0
!,0.07426475836961953,1.0
!,0.07430937254622029,1.0
!,0.07432721821686059,1.0
!,0.07435398672282105,1.0
!,0.07445213791134271,1.0
!,0.07451459775858377,1.0
!,0.07458598044114498,1.0
!,0.07459490327646513,1.0
!,0.07462167178242558,1.0
!,0.07463059461774574,1.0
!,0.07464844028838603,1.0
!,0.07466628595902634,1.0
!,0.0746930544649868,1.0
!,0.0747109001356271,1.0
!,0.07471982297094724,1.0
!,0.07479120565350846,1.0
!,0.07480012848882861,1.0
!,0.07481797415946892,1.0
!,0.07484474266542937,1.0
!,0.07486258833606967,1.0
!,0.07491612534799058,1.0
!,0.07493397101863088,1.0
!,0.07494289385395103,1.0
!,0.07504104504247269,1.0
!,0.07504996787779285,1.0
!,0.0750767363837533,1.0
!,0.07513919623099435,1.0
!,0.07522842458419587,1.0
!,0.07525519309015632,1.0
!,0.07532657577271754,1.0
!,0.07535334427867799,1.0
!,0.0753711899493183,1.0
!,0.07554072382040117,1.0
!,0.07554964665572132,1.0
!,0.07558533799700193,1.0
!,0.07560318366764222,1.0
!,0.07562102933828253,1.0
!,0.07562995217360269,1.0
!,0.07564779784424298,1.0
!,0.0756656435148833,1.0
!,0.07568348918552359,1.0
!,0.07569241202084374,1.0
!,0.0757191805268042,1.0
!,0.0757370261974445,1.0
!,0.0757548718680848,1.0
!,0.07581733171532586,1.0
!,0.07583517738596617,1.0
!,0.07584410022128632,1.0
!,0.07589763723320722,1.0
!,0.07593332857448783,1.0
!,0.07595117424512814,1.0
!,0.07602255692768935,1.0
!,0.07604040259832964,1.0
!,0.07607609393961025,1.0
!,0.07626347348133343,1.0
!,0.07630808765793419,1.0
!,0.0763437789992148,1.0
!,0.0763973160111357,1.0
!,0.07650439003497751,1.0
!,0.07654008137625812,1.0
!,0.07657577271753872,1.0
!,0.07659361838817903,1.0
!,0.07662038689413948,1.0
!,0.07664715540009993,1.0
!,0.07668284674138054,1.0
!,0.07673638375330145,1.0
!,0.07678992076522236,1.0
!,0.0768166892711828,1.0
!,0.07685238061246341,1.0
!,0.07689699478906417,1.0
!,0.07691484045970448,1.0
!,0.07712006567206796,1.0
!,0.07720037118994932,1.0
!,0.07721821686058962,1.0
!,0.07724498536655007,1.0
!,0.07737882789635235,1.0
!,0.07741451923763296,1.0
!,0.07745021057891356,1.0
!,0.07750374759083446,1.0
!,0.07805696338068385,1.0
!,0.07809265472196446,1.0
!,0.07812834606324506,1.0
!,0.07818188307516596,1.0
!,0.07819972874580627,1.0
!,0.07823542008708688,1.0
!,0.07827111142836748,1.0
!,0.07829787993432794,1.0
!,0.07831572560496823,1.0
!,0.07833357127560854,1.0
!,0.07836926261688915,1.0
!,0.0783781854522093,1.0
!,0.07891355557141837,1.0
!,0.07892247840673852,1.0
!,0.07894032407737883,1.0
!,0.07896709258333928,1.0
!,0.07900278392461989,1.0
!,0.07903847526590049,1.0
!,0.079127703619102,1.0
!,0.07917231779570276,1.0
!,0.07919908630166321,1.0
!,0.07935077450210579,1.0
!,0.07952923120850881,1.0
!,0.07955599971446926,1.0
!,0.07958276822042973,1.0
!,0.07962738239703047,1.0
!,0.07974337925619245,1.0
!,0.07981476193875366,1.0
!,0.07983260760939397,1.0
!,0.07992183596259547,1.0
!,0.0800824469983582,1.0
!,0.08010921550431865,1.0
!,0.08012706117495895,1.0
!,0.08018059818687986,1.0
!,0.08019844385752016,1.0
!,0.08023413519880077,1.0
!,0.08026982654008137,1.0
!,0.08028767221072168,1.0
!,0.08031444071668213,1.0
!,0.08033228638732244,1.0
!,0.08035905489328289,1.0
!,0.08040366906988365,1.0
!,0.08042151474052395,1.0
!,0.08046612891712471,1.0
!,0.08050182025840531,1.0
!,0.08052858876436576,1.0
!,0.08062673995288742,1.0
!,0.08063566278820758,1.0
!,0.08065350845884789,1.0
!,0.0806891998001285,1.0
!,0.08070704547076879,1.0
!,0.08071596830608894,1.0
!,0.08084088800057106,1.0
!,0.08091227068313227,1.0
!,0.08109965022485545,1.0
!,0.08111749589549576,1.0
!,0.08114426440145621,1.0
!,0.08117103290741666,1.0
!,0.08119780141337711,1.0
!,0.08121564708401742,1.0
!,0.08122456991933757,1.0
!,0.08125133842529803,1.0
!,0.08128702976657863,1.0
!,0.08130487543721893,1.0
!,0.08132272110785924,1.0
!,0.08137625811978014,1.0
!,0.08159040616746377,1.0
!,0.08160825183810408,1.0
!,0.08162609750874437,1.0
!,0.08166178885002498,1.0
!,0.0817867085445071,1.0
!,0.08182239988578771,1.0
!,0.08186701406238847,1.0
!,0.08190270540366908,1.0
!,0.08192947390962953,1.0
!,0.08267006924120208,1.0
!,0.08267899207652224,1.0
!,0.08269683774716254,1.0
!,0.08272360625312299,1.0
!,0.08276822042972375,1.0
!,0.08278606610036406,1.0
!,0.08282175744164466,1.0
!,0.08283960311228496,1.0
!,0.08285744878292527,1.0
!,0.08363373545577843,1.0
!,0.08369619530301949,1.0
!,0.08374080947962025,1.0
!,0.08375865515026054,1.0
!,0.08377650082090085,1.0
!,0.0838032693268613,1.0
!,0.08447248197587265,1.0
!,0.08450817331715325,1.0
!,0.08456171032907417,1.0
!,0.08457063316439432,1.0
!,0.08462417017631522,1.0
!,0.08465986151759583,1.0
!,0.08471339852951675,1.0
!,0.0847758583767578,1.0
!,0.0847937040473981,1.0
!,0.08480262688271825,1.0
!,0.08482047255335856,1.0
!,0.08485616389463917,1.0
!,0.08501677493040188,1.0
!,0.0850346206010422,1.0
!,0.08505246627168249,1.0
!,0.0850703119423228,1.0
!,0.08507923477764294,1.0
!,0.0855075308730102,1.0
!,0.08552537654365051,1.0
!,0.08555214504961096,1.0
!,0.0857127560853737,1.0
!,0.08573952459133415,1.0
!,0.08584659861517596,1.0
!,0.08586444428581626,1.0
!,0.08587336712113641,1.0
!,0.08589121279177671,1.0
!,0.08590013562709686,1.0
!,0.08636412306374473,1.0
!,0.08640873724034549,1.0
!,0.08643550574630594,1.0
!,0.0864622742522664,1.0
!,0.08656042544078807,1.0
!,0.08656934827610821,1.0
!,0.08658719394674852,1.0
!,0.08659611678206867,1.0
!,0.08661396245270897,1.0
!,0.08664073095866942,1.0
!,0.08667642229995003,1.0
!,0.08668534513527018,1.0
!,0.08687272467699336,1.0
!,0.08688164751231352,1.0
!,0.08693518452423442,1.0
!,0.08694410735955457,1.0
!,0.08696195303019487,1.0
!,0.08699764437147547,1.0
!,0.08706010421871654,1.0
!,0.08706902705403669,1.0
!,0.087086872724677,1.0
!,0.0871225640659576,1.0
!,0.0871404097365979,1.0
!,0.0871582554072382,1.0
!,0.08719394674851881,1.0
!,0.08722071525447926,1.0
!,0.08723856092511957,1.0
!,0.08725640659575987,1.0
!,0.08730102077236063,1.0
!,0.08799700192733242,1.0
!,0.08800592476265258,1.0
!,0.08804161610393318,1.0
!,0.0880594617745735,1.0
!,0.0880951531158541,1.0
!,0.08812192162181455,1.0
!,0.08817545863373545,1.0
!,0.08821114997501606,1.0
!,0.08822899564565637,1.0
!,0.08835391534013848,1.0
!,0.08837176101077879,1.0
!,0.08838960668141908,1.0
!,0.08842529802269969,1.0
